Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
21207     	0.0279         	0.001628       	1020000   	0.1270    	24.90          
21276     	0.0322         	0.001656       	1030000   	0.1180    	36.10          
21336     	0.0317         	0.001759       	1040000   	0.1090    	26.40          
21408     	0.0284         	0.001872       	1050000   	0.1000    	21.60          
21472     	0.0313         	0.001862       	1060000   	0.1000    	25.30          
21533     	0.0302         	0.001947       	1070000   	0.1000    	29.60          
21598     	0.0305         	0.002119       	1080000   	0.1000    	24.40          
21665     	0.0294         	0.002066       	1090000   	0.1000    	32.00          
21728     	0.0309         	0.002097       	1100000   	0.1000    	30.40          
21777     	0.0331         	0.002234       	1110000   	0.1000    	35.50          
21833     	0.0342         	0.002169       	1120000   	0.1000    	33.00          
21889     	0.0355         	0.002259       	1130000   	0.1000    	29.30          
21946     	0.0342         	0.002306       	1140000   	0.1000    	26.30          
22007     	0.0349         	0.002269       	1150000   	0.1000    	38.20          
22055     	0.0368         	0.002309       	1160000   	0.1000    	28.80          
22111     	0.0315         	0.002709       	1170000   	0.1000    	40.10          
22168     	0.0340         	0.002628       	1180000   	0.1000    	30.60          
22221     	0.0371         	0.002591       	1190000   	0.1000    	39.10          
22275     	0.0305         	0.002634       	1200000   	0.1000    	44.50          
22325     	0.0384         	0.002791       	1210000   	0.1000    	41.60          
22372     	0.0356         	0.002738       	1220000   	0.1000    	43.00          
22424     	0.0351         	0.002866       	1230000   	0.1000    	41.40          
22474     	0.0366         	0.002878       	1240000   	0.1000    	42.80          
22525     	0.0344         	0.003009       	1250000   	0.1000    	43.50          
22571     	0.0360         	0.002891       	1260000   	0.1000    	48.50          
22615     	0.0401         	0.002950       	1270000   	0.1000    	53.10          
22668     	0.0400         	0.003031       	1280000   	0.1000    	44.60          
22712     	0.0404         	0.003012       	1290000   	0.1000    	57.00          
22763     	0.0358         	0.003125       	1300000   	0.1000    	51.20          
22803     	0.0392         	0.003088       	1310000   	0.1000    	48.50          
22852     	0.0363         	0.003106       	1320000   	0.1000    	45.00          
22900     	0.0402         	0.003256       	1330000   	0.1000    	55.70          
22953     	0.0373         	0.003109       	1340000   	0.1000    	54.50          
22997     	0.0399         	0.003234       	1350000   	0.1000    	58.90          
23044     	0.0415         	0.003338       	1360000   	0.1000    	58.90          
23093     	0.0392         	0.002981       	1370000   	0.1000    	51.80          
23138     	0.0398         	0.003178       	1380000   	0.1000    	48.70          
23179     	0.0401         	0.003247       	1390000   	0.1000    	61.90          
23224     	0.0413         	0.003450       	1400000   	0.1000    	46.00          
23268     	0.0486         	0.003306       	1410000   	0.1000    	48.90          
23312     	0.0458         	0.003441       	1420000   	0.1000    	61.40          
23353     	0.0418         	0.003400       	1430000   	0.1000    	49.90          
23398     	0.0375         	0.003516       	1440000   	0.1000    	51.20          
23443     	0.0393         	0.003625       	1450000   	0.1000    	53.90          
23493     	0.0439         	0.003728       	1460000   	0.1000    	60.30          
23538     	0.0416         	0.004131       	1470000   	0.1000    	55.70          
23583     	0.0388         	0.004184       	1480000   	0.1000    	50.40          
23624     	0.0440         	0.004412       	1490000   	0.1000    	60.20          
23672     	0.0386         	0.004012       	1500000   	0.1000    	53.10          
23717     	0.0436         	0.004231       	1510000   	0.1000    	54.50          
23758     	0.0436         	0.004328       	1520000   	0.1000    	68.00          
23802     	0.0608         	0.004191       	1530000   	0.1000    	69.20          
23841     	0.0483         	0.004631       	1540000   	0.1000    	63.10          
23882     	0.0417         	0.004834       	1550000   	0.1000    	55.90          
23927     	0.0402         	0.004972       	1560000   	0.1000    	56.10          
23972     	0.0422         	0.005222       	1570000   	0.1000    	56.00          
24020     	0.0391         	0.005003       	1580000   	0.1000    	50.50          
24064     	0.0383         	0.005412       	1590000   	0.1000    	69.00          
24112     	0.0392         	0.005228       	1600000   	0.1000    	46.90          
24156     	0.0392         	0.005531       	1610000   	0.1000    	61.10          
24208     	0.0441         	0.005469       	1620000   	0.1000    	51.30          
24258     	0.0377         	0.005972       	1630000   	0.1000    	52.30          
24303     	0.0464         	0.005766       	1640000   	0.1000    	68.30          
24348     	0.0424         	0.005919       	1650000   	0.1000    	58.30          
24388     	0.0434         	0.005619       	1660000   	0.1000    	59.60          
24435     	0.0431         	0.005656       	1670000   	0.1000    	65.80          
24478     	0.0451         	0.005550       	1680000   	0.1000    	63.40          
24517     	0.0482         	0.006003       	1690000   	0.1000    	52.60          
24565     	0.0410         	0.005831       	1700000   	0.1000    	63.20          
24605     	0.0459         	0.005697       	1710000   	0.1000    	68.10          
24643     	0.0477         	0.005894       	1720000   	0.1000    	72.00          
24685     	0.0486         	0.005703       	1730000   	0.1000    	58.80          
24729     	0.0435         	0.006094       	1740000   	0.1000    	65.80          
24771     	0.0428         	0.006281       	1750000   	0.1000    	85.20          
24810     	0.0479         	0.006341       	1760000   	0.1000    	57.00          
24851     	0.0453         	0.006388       	1770000   	0.1000    	76.30          
24895     	0.0473         	0.006684       	1780000   	0.1000    	62.40          
24936     	0.0416         	0.006969       	1790000   	0.1000    	82.90          
24977     	0.0419         	0.006731       	1800000   	0.1000    	66.30          
25016     	0.0677         	0.006541       	1810000   	0.1000    	72.70          
25058     	0.0477         	0.006478       	1820000   	0.1000    	70.20          
25097     	0.0476         	0.006500       	1830000   	0.1000    	65.10          
25138     	0.0502         	0.006938       	1840000   	0.1000    	102.90         
25182     	0.0867         	0.006938       	1850000   	0.1000    	74.30          
25221     	0.0470         	0.007153       	1860000   	0.1000    	85.50          
25260     	0.0429         	0.007359       	1870000   	0.1000    	78.20          
25301     	0.0426         	0.006969       	1880000   	0.1000    	84.40          
25343     	0.0465         	0.007678       	1890000   	0.1000    	73.00          
25384     	0.0534         	0.008238       	1900000   	0.1000    	86.70          
25421     	0.0497         	0.007775       	1910000   	0.1000    	78.40          
25459     	0.0476         	0.008153       	1920000   	0.1000    	64.90          
25499     	0.0494         	0.008181       	1930000   	0.1000    	73.80          
25533     	0.0481         	0.007828       	1940000   	0.1000    	77.50          
25573     	0.0516         	0.008988       	1950000   	0.1000    	80.90          
25610     	0.0513         	0.008941       	1960000   	0.1000    	93.00          
25646     	0.0506         	0.008784       	1970000   	0.1000    	77.60          
25684     	0.0519         	0.008616       	1980000   	0.1000    	64.70          
