Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
19519     	0.0259         	0.001812       	1020000   	0.1270    	42.80          
19572     	0.0256         	0.001940       	1030000   	0.1180    	45.90          
19623     	0.0263         	0.001912       	1040000   	0.1090    	41.30          
19675     	0.0258         	0.001934       	1050000   	0.1000    	40.90          
19725     	0.0264         	0.001944       	1060000   	0.1000    	54.20          
19773     	0.0264         	0.001992       	1070000   	0.1000    	44.60          
19829     	0.0258         	0.001992       	1080000   	0.1000    	34.00          
19878     	0.0269         	0.001984       	1090000   	0.1000    	49.80          
19925     	0.0265         	0.001972       	1100000   	0.1000    	41.80          
19977     	0.0267         	0.002000       	1110000   	0.1000    	47.30          
20026     	0.0262         	0.002043       	1120000   	0.1000    	51.20          
20068     	0.0268         	0.002069       	1130000   	0.1000    	36.10          
20119     	0.0261         	0.002153       	1140000   	0.1000    	44.30          
20165     	0.0265         	0.002050       	1150000   	0.1000    	48.00          
20207     	0.0278         	0.002157       	1160000   	0.1000    	61.70          
20254     	0.0265         	0.002046       	1170000   	0.1000    	58.10          
20294     	0.0264         	0.001955       	1180000   	0.1000    	65.60          
20340     	0.0257         	0.001936       	1190000   	0.1000    	55.00          
20383     	0.0273         	0.001976       	1200000   	0.1000    	58.90          
20434     	0.0258         	0.001972       	1210000   	0.1000    	64.80          
20477     	0.0270         	0.002134       	1220000   	0.1000    	57.20          
20517     	0.0277         	0.002059       	1230000   	0.1000    	60.30          
20556     	0.0264         	0.001975       	1240000   	0.1000    	71.50          
20599     	0.0269         	0.002106       	1250000   	0.1000    	61.60          
20641     	0.0266         	0.002111       	1260000   	0.1000    	51.10          
20682     	0.0273         	0.002078       	1270000   	0.1000    	56.70          
20728     	0.0275         	0.002031       	1280000   	0.1000    	60.90          
20773     	0.0272         	0.002131       	1290000   	0.1000    	53.90          
20816     	0.0273         	0.002322       	1300000   	0.1000    	71.60          
20858     	0.0270         	0.002261       	1310000   	0.1000    	64.00          
20901     	0.0274         	0.002280       	1320000   	0.1000    	59.00          
20950     	0.0261         	0.002177       	1330000   	0.1000    	62.60          
20986     	0.0280         	0.002264       	1340000   	0.1000    	60.80          
21025     	0.0273         	0.002272       	1350000   	0.1000    	59.80          
21068     	0.0271         	0.002392       	1360000   	0.1000    	75.50          
21112     	0.0265         	0.002539       	1370000   	0.1000    	75.40          
21160     	0.0272         	0.002329       	1380000   	0.1000    	80.20          
21204     	0.0271         	0.002033       	1390000   	0.1000    	64.20          
21243     	0.0272         	0.002059       	1400000   	0.1000    	77.90          
21286     	0.0296         	0.002257       	1410000   	0.1000    	63.50          
21322     	0.0280         	0.002120       	1420000   	0.1000    	77.00          
21361     	0.0294         	0.002130       	1430000   	0.1000    	86.80          
21403     	0.0267         	0.002123       	1440000   	0.1000    	82.20          
21442     	0.0291         	0.002163       	1450000   	0.1000    	65.50          
21483     	0.0285         	0.002193       	1460000   	0.1000    	82.20          
21526     	0.0290         	0.002118       	1470000   	0.1000    	64.10          
21566     	0.0280         	0.002133       	1480000   	0.1000    	88.40          
21606     	0.0282         	0.002074       	1490000   	0.1000    	63.20          
21648     	0.0283         	0.002134       	1500000   	0.1000    	74.80          
21688     	0.0285         	0.002206       	1510000   	0.1000    	66.00          
21727     	0.0270         	0.002328       	1520000   	0.1000    	54.80          
21763     	0.0275         	0.002394       	1530000   	0.1000    	58.20          
21804     	0.0290         	0.002262       	1540000   	0.1000    	72.80          
21841     	0.0286         	0.002194       	1550000   	0.1000    	96.60          
21880     	0.0296         	0.002149       	1560000   	0.1000    	69.80          
21923     	0.0287         	0.001925       	1570000   	0.1000    	84.00          
21964     	0.0276         	0.002036       	1580000   	0.1000    	82.60          
22002     	0.0289         	0.002093       	1590000   	0.1000    	99.80          
22047     	0.0286         	0.002260       	1600000   	0.1000    	108.30         
